Stars,Title_of_Review,Base_Review,,,
3.0 out of 5 stars,Can Not Play Pogo,can not play pogo on this app.  Family wants together on skype to play cards by skype will not allow it using the kindle.,,,
1.0 out of 5 stars,this app sucks,it's a stupid app,,,
5.0 out of 5 stars,Christmas eve is here,For Christmas I put this on my kindle fire it is great for face time I put it on Facebook.,,,
1.0 out of 5 stars,it ain't working on the fire they need to fix it,This is just not working at all,,,
1.0 out of 5 stars,so bad!,"Baaaaad,so bad!",,,
1.0 out of 5 stars,CANT CREATE ACCOUNT,When I try to create an account I use a fake email and doesn't work anymore but it did before,,,
5.0 out of 5 stars,alsome,The update works fine now on my kindle fire and is real cool I love talking to my friend on it or video chatting.,,,
5.0 out of 5 stars,Best Video/Voice call thing ever invented,This is a really go software I reccorment downloading. Im able to skype my friends and its awesome,,,
1.0 out of 5 stars,new update cause my kindle to reboot,"Every since the latest update, Skype doesn't launch the same, doesn't act the same, and cause my kindle to reboot. Unknown what the changes were but the previous version worked far better. Being deployed, I use Skype everyday, so the issues are very noticeable.",,,
1.0 out of 5 stars,DON'T BUY THIS,"This app sucks yeah, cool you can make an account on tablet, but when you go to log in on pc  you need to fill out all of this stuff.....MY TOWN ISN'T IN THE AREA CODE SELECTION...........THIS IS BULLS***",,,
4.0 out of 5 stars,Good but...,UPDATE PLEASE,,,
1.0 out of 5 stars,Bad browser.,It crashed and freezes within minutes of opening a web site.Is there an alternative? How do you fix this problem?,,,
1.0 out of 5 stars,Crap!,"Worse app ever! Please fix asap! Crashes repeatedly, does not make calls. Would love to use this app but no luck. Skype my a$$",,,
5.0 out of 5 stars,LOVE SKYPE,I love skype because it's so fun I can see my friends but when the update comes I don't like it but can you PLZ make the update better then the new update.,,,
5.0 out of 5 stars,Excellent product,The colors and the sharpness of the image are very good. The size of the characters of the keyboard are of the size I need because I have big finger tips.,,,
2.0 out of 5 stars,New update,"Not any better still  a lot of issues. I can't see myself or th  other  person.  Can only hear them, hopefully this will  be fixed with the next update",,,
5.0 out of 5 stars,awsome,I was video chatting with my friend it had no lag and look at the resolution it is so amazing this is definitely a buy,,,
5.0 out of 5 stars,very good version,"I have already have the app and it's great, does exactly what it's supposed to and it's basically the same as what you have on your other devices only about 2 updates ago.",,,
1.0 out of 5 stars,One Star,Couldn't figure it out. Not user intuitive.,,,
1.0 out of 5 stars,SAVE YOUR SELVES,Horrible just horrible,,,
1.0 out of 5 stars,Permissons much? and bugs!,"Skype appears to be using every permission I've ever seen. The list of permissions is so long I can't begin to know whether or not there might be somethin sneaky. It's reputable enough, but the fact this crashes soo often and with so many bugs, it's simply not worth it.",,,
1.0 out of 5 stars,Horrable,I doesn't let me get through the first step of creating an account,,,
5.0 out of 5 stars,Five Stars,so far loving it.,,,
1.0 out of 5 stars,Recent update made it unusable.,App has been finiky at best on the kindle fire. Recent download now it doesn't work at all.,,,
1.0 out of 5 stars,"Low sound, stops working","Installed on Kindle Fire HD 8.9.  Almost inaudible volume while in call, needed to place ear next to the speaker in order to hear anything.  Unable to adjust volume even though it is set to the max.  Frequently hangs and stops working.",,,
3.0 out of 5 stars,Can't open my camera,I don't know if it's my kindle fire but when I make a video call my camera refuse to open.,,,
1.0 out of 5 stars,Skype for Kindle DOES NOT WORK. Garbage,"Zero Stars. Skype for Kindle Fire HD simply doesn't work. Connect for a few seconds and then it crashes. There has been no update for a year [Jan 2014~Dec 2014] so obviously neither Amazon, Skype or Microsoft care about Kindle users. If one of the reasons you carry a tablet it to keep in touch, then not having skype is a very real reason to throw your kindle in the bin  and upgrade to another android, or apple based tablet. SKYPE SUCKS.",,,
5.0 out of 5 stars,this app is awesome,Ok I know everyone says that the new update is dumb but it has enabled me to connect with all my friends and the app runs very smoothly on my kindle fire thanks again amazon 😀,,,
1.0 out of 5 stars,crashing,Ever since there has been an update you cannot Skype it throws you off the site what was the sense of that update it only ruined Skype,,,
2.0 out of 5 stars,kindle dose not allow 3 person video,Can not video with more then one person even though you can talk with one or more people at a time,,,
2.0 out of 5 stars,Not as good as I hoped!,Constantly freezing and not responding. Hopefully there is an update or something that will fix as my mom and I are both having issues with our Kindle Fires.,,,
1.0 out of 5 stars,This software forcibly updates itself and demands to add friends ...,This software forcibly updates itself and demands to add friends and contacts before it can be used once again.,,,
1.0 out of 5 stars,Constantly drops calls after recent update,It was a great app until the last update. Now it drops calls constantly. I used my laptop instead and do not have the same problem so it isn't my network. I can't uninstall the update. They need a fix now or else I will switch to something else.,,,
5.0 out of 5 stars,FORTNITE!!!!,FORTNITE!!!!,,,
1.0 out of 5 stars,horrible,I can't even deleted the app from my Fire Phone.,,,
4.0 out of 5 stars,works great but crashes are annoying,I keep trying to have a nice video call or regular call with my friends and it keeps crashing and displaying  a bad screen,,,
1.0 out of 5 stars,Won't work,Keeps crashing says there's an unknown error to download it again from the Amazon app store,,,
1.0 out of 5 stars,poor,One day it works fine then today it doesn't work at all. My skyping videos aren't working and only some of my messages are going through. It needs t be fixed.,,,
2.0 out of 5 stars,no incoming video,Using a new KF-HDX (3rd kindle). Like many other reviewers - no incoming video. Have tried re-installing app a number of times with same results. Disappointed....,,,
5.0 out of 5 stars,keep connected,Band width impacts performance and quality.  Overall great product. Good productivity tool,,,
3.0 out of 5 stars,Could be better,i think that they should make the kindle version like the android version (i dont know what the apple version looks like). on the android version you can see photos without the link and you can preview links without clicking them and... its just so much cooler but this is still great on kindle :),,,
5.0 out of 5 stars,skype is great! 😃,"This is awesome, having skype now on my kindle is epic. So nice work microsoft! on computer I can sign in with my microsoft account if I forget my password!🐱",,,
